TT,Nhóm mẫu,Số hiệu,Họ,Loài,Tác giả,Tên việt,Nơi thu,Ngày thu,Long,Lat,CT,IUCN,SĐVN,KT,TP,LC/MN,Thông tin
77,Thân mềm,TB.077,Veneridae,Meretrix meretrix,"(Linnaeus, 1758)",Nghêu dầu,Vùng biển Quảng Ninh,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 5-7cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống ở đáy cát bùn, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Thanh Hóa, Nghệ An, Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
78,Thân mềm,TB.078,Pectinidae,Mimachlamys crassicostata,"(Sowerby II, 1842)",Điệp quạt,Vùng biển Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 7-8cm. Mẫu lớn nhất có kích cỡ đạt tới 12 cm
Sinh học, sinh thái: Sống bám trên đá, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
79,Thân mềm,TB.079,Pectinidae,Amusium pleuronectes,"(Linnaeus, 1758)",Điệp láng,Vùng biển Quảng Ninh,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 7-8cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng dưới tiều đến độ sâu 30 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
80,Thân mềm,TB.080,Mytilidae,Perna viridis,"(Linnaeus, 1758)",Vẹm xanh,Vùng biển Quảng Ninh,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-10cm. Mẫu lớn nhất có kích cỡ đạt tới 18 cm
Sinh học, sinh thái: Sống bám trên đá hoặc gỗ, vùng dưới triều đến độ sâu 15 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Hà Tĩnh, Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
81,Thân mềm,TB.081,Ostreidae,Magallana belcheri,"(G. B. Sowerby II, 1871)",Hàu,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-8cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống bám trên đá, gỗ, vv …, vùng dưới triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
82,Thân mềm,TB.082,Arcidae,Anadara antiquata,"(Linnaeus, 1758)",Sò lông,Quần đảo Hoàng Sa - Trường Sa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-7cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống ở đáy bùn cát, vùng triều đến độ sâu 5 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Phân bố hầu hết các vùng ven biển
Ứng dụng: dùng làm thực phẩm.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
83,Thân mềm,TB.083,Arcidae,Tegillarca granosa,"(Linnaeus, 1758)",Sò huyết,Vùng biển Bình Định,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 3-3,5cm. Mẫu lớn nhất có kích cỡ đạt tới 5 cm
Sinh học, sinh thái: Sống ở đáy bùn, vùng triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Bình Định, Phú Yên, Khánh Hòa, Bình Thuận, ven biển các tỉnh phía Nam, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
84,Thân mềm,TB.084,Haliotidae,Haliotis ovina,"(Gmelin, 1791)",Bào ngư bầu dục,Các tỉnh phía Bắc,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 6-7 cm. Mẫu lớn nhất có kích cỡ đạt tới 9 cm
Sinh học, sinh thái: Sống bám trên đá, độ sâu 3-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây  Thái Bình Dương, biển nam Nhật Bản, vv… - Việt Nam: Các tỉnh phía Bắc, Đà Nẵng, Quảng Ngãi, Khánh Hòa, Phú Quốc, Hà Tiên, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
85,Thân mềm,TB.085,Haliotidae,Haliotis asinina,"(Linnaeus, 1758)",Bào ngư vành tai,Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 8-10 cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống bám trên đá, độ sâu 2-10 m
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Khánh Hòa, Bình Thuận, Phú Quốc, Hà Tiên, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
86,Thân mềm,TB.086,Naticidae,Neverita didyma,"(Roeding, 1798)",Ốc mỡ xám,Quần đảo Hoàng Sa - Trường Sa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 6 cm
Sinh học, sinh thái: Sống ở đáy bùn hoặc bùn cát, độ sâu 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng ven biển miền Trung và các tỉnh phía Nam
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
87,Thân mềm,TB.087,Sepiidae,Sepia aculeata,"(Van Hasselt in Férussac & d'Orbigny, 1835)",Mực nang,Vùng biển Đà Nẵng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 15-20cm. Mẫu lớn nhất có kích cỡ đạt tới 30 cm
Sinh học, sinh thái: Sống ở tầng đáy các rạn đá hoặc san hô, độ sâu từ 5 đến 20 mét nước Phân bố: 	- Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương
Phân bố: - Việt Nam: Vùng biển Đà Nẵng, Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
88,Thân mềm,TB.088,Sepiidae,Sepioteuthis lessoniana,"(d'Orbigny, 1826)",Mực lá,Vùng biển Đà Nẵng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 25-30cm. Mẫu lớn nhất có kích cỡ đạt tới 35 cm
Sinh học, sinh thái: Sống ở tầng đáy các rạn đá hoặc san hô, độ sâu từ 1 đến 100 mét nước (Okutani, 2000)
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Đà Nẵng, Khánh Hòa, Ninh Thận, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
89,Thân mềm,TB.089,Loliginidae,Uroteuthis (Photololigo) chinensis,"(Gray, 1849)",Mực ống,Vùng biển Đà Nẵng,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 25-30cm. Mẫu lớn nhất có kích cỡ đạt tới 40 cm
Sinh học, sinh thái: Sống ở tầng đáy các rạn đá hoặc san hô, độ sâu từ 15 đến 150 mét nước
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Đà Nẵng, Khánh Hòa, Ninh Thận, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
90,Thân mềm,TB.090,Loliginidae,Modiolus philippinarum,"(Hanley, 1843)",Dòm nâu,Vùng biển Quảng Ninh,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-10cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống ở đáy bùn hoặc bùn cát quanh các rạn đá và san hô, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Thanh Hóa, Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
91,Thân mềm,TB.091,Loliginidae,Tapes conspersus,"(Gmelin, 1791)",Ngao hai cồi,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-9cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở đáy cát bùn, vùng dưới triều đến độ sâu 15 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bình Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
92,Thân mềm,TB.092,Cardiidae,Vasticardium angulatum,"(Lamarck, 1819)",Sò dương méo,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 5-6cm. Mẫu lớn nhất có kích cỡ đạt tới 8 cm
Sinh học, sinh thái: Sống ở đáy cát, độ sâu từ 5-30 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
93,Thân mềm,TB.093,Cardiidae,Vasticardium elongatum,"(Bruguiere, 1789)",Sò dương dài,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-8cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống ở đáy cát, độ sâu từ 5-20 m
Phân bố: - Thế giới: Vùng biển Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
94,Thân mềm,TB.094,Veneridae,Marcia hiantina,"(Lamarck, 1818)",Ngao rá,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 6 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng dưới triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
95,Thân mềm,TB.095,Arcidae,Tegillarca nodifera,"(Martens, 1860)",Sò huyết nhỏ,Vùng biển Quảng Ngãi,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 2-2,5cm. Mẫu lớn nhất có kích cỡ đạt tới 3,5 cm
Sinh học, sinh thái: Sống ở đáy bùn, vùng triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Bình Định, Khánh Hòa, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
96,Thân mềm,TB.096,Cyrenidae,Geloina coaxans,"(Gmelin, 1791)",Vọp,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-10cm. Mẫu lớn nhất có kích cỡ đạt tới 13 cm
Sinh học, sinh thái: Sống ở đáy bùn cát vùng cửa sông, rừng ngập
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Cần Giờ, Sóc Trăng, Cà Mau, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
97,Thân mềm,TB.097,Cucullaeidae,Cucullaea labiata,"([Lightfoot], 1786)",Sò vuông,Vùng biển Thanh Hóa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 9-11cm. Mẫu lớn nhất có kích cỡ đạt tới 15 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng cận triều đến độ sâu 200 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Thanh Hóa, Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
98,Thân mềm,TB.098,Pectinidae,Decatopecten radula,"(Linnaeus, 1758)",Điệp seo,Vùng biển Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 7-8cm. Mẫu lớn nhất có kích cỡ đạt tới 10 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
99,Thân mềm,TB.099,Margaritidae,Pinctada margaritifera,"(Linnaeus, 1758)",Trai ngọc môi đen,Vùng biển Quảng Ninh,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 12-15cm. Mẫu lớn nhất có kích cỡ đạt tới 18 cm
Sinh học, sinh thái: Sống ở đáy đá sỏi, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ninh, Hải Phòng, Quảng Ngãi, Khánh Hòa, Bình Thuận, Côn Đảo, Phú Quốc, vv…
Ứng dụng: dùng làm thực phầm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
100,Thân mềm,TB.100,Ostreidae,Magallana bilineata,"(Röding, 1798)",Hàu sữa,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 7-10cm. Mẫu lớn nhất có kích cỡ đạt tới 16 cm
Sinh học, sinh thái: Sống bám trên đá, gỗ, vv…, vùng dưới triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
101,Thân mềm,TB.101,Ostreidae,Magallana gigas,"(Thunberg, 1793)",Hàu thái bình dương,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 15-20cm. Mẫu lớn nhất có kích cỡ đạt tới 25 cm
Sinh học, sinh thái: Sống bám trên đá, vv…, vùng dưới triều đến độ sâu 10 m
Phân bố: - Thế giới: Vùng biển Tây nam Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Cần Giờ, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
102,Thân mềm,TB.102,Veneridae,Periglypta crispata,"(Deshayes, 1854)",Sò chén,Vùng biển Khánh Hòa,,,,,,,,1,,"Màu sắc, đặc điểm: trung bình 6-7cm. Mẫu lớn nhất có kích cỡ đạt tới 8 cm
Sinh học, sinh thái: Sống ở đáy cát, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
103,Thân mềm,TB.103,Cardiidae,Tridacna squamosa,"(Lamarck, 1819)",Trai tai tượng vảy,Vùng biển Khánh Hòa,,,,1,,1,,,,"Màu sắc, đặc điểm: trung bình 15-20cm. Mẫu lớn nhất có kích cỡ đạt tới 30 cm
Sinh học, sinh thái: Sống bám trên các rạn san hô, độ sâu 5-10 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Côn Đảo, Phú Quốc, vv…
Ứng dụng: chưa rõ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
104,Thân mềm,TB.104,Cardiidae,Hippopus hippopus,"(Linnaeus, 1758)",Trai tai nghé,Vùng biển Khánh Hòa,,,,1,,,,,,"Màu sắc, đặc điểm: trung bình 30-40cm. Mẫu lớn nhất có kích cỡ đạt tới 70 cm
Sinh học, sinh thái: Sống trên các rạn san hô, độ sâu 3-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, vv…
Ứng dụng: chưa rõ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
105,Thân mềm,TB.105,Cardiidae,Tridacna gigas,"(Linnaeus, 1758)",Trai tai tượng khổng lồ,Vùng biển Trường Sa,,,,1,1,1,,,,"Màu sắc, đặc điểm: trung bình 90-130cm. Mẫu lớn nhất có kích cỡ đạt tới 170 cm
Sinh học, sinh thái: Sống trên các rạn san hô, độ sâu 5-40 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Trường Sa (Khánh Hòa)
Ứng dụng: chưa rõ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
106,Thân mềm,TB.106,Cardiidae,Tridacna maxima,"(Röding, 1798)",Trai tai tượng dài,Vùng biển Khánh Hòa,,,,1,,1,,,,"Màu sắc, đặc điểm: trung bình 20-25cm. Mẫu lớn nhất có kích cỡ đạt tới 35 cm
Sinh học, sinh thái: Sống bám trên các rạn san hô, độ sâu 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Côn Đảo, Phú Quốc, vv…
Ứng dụng: chưa rõ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
107,Thân mềm,TB.107,Cardiidae,Tridacna crocea,"(Lamarck, 1819)",Trai tai tượng dẹp,Vùng biển Khánh Hòa,,,,1,,1,,,,"Màu sắc, đặc điểm: trung bình 12-15cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm
Sinh học, sinh thái: Sống bám trên các rạn san hô, độ sâu 1-15 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Côn Đảo, Phú Quốc, vv…
Ứng dụng: chưa rõ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
108,Thân mềm,TB.108,Strombidae,Lambis truncata,"(Kiener, 1843)",Ốc bẹ ria lớn,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 25-28 cm. Mẫu lớn nhất có kích cỡ đạt tới 30 cm
Sinh học, sinh thái: Sống ở rạn san hô
Phân bố: - Thế giới: Vùng biển Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
109,Thân mềm,TB.109,Cypraeidae,Cypraea tigris,"(Linnaeus, 1758)",Ốc sứ vân hổ,Vùng biển các tỉnh phía Bắc,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 8 - 12cm. Mẫu lớn nhất có kích cỡ đạt tới 14 cm
Sinh học, sinh thái: Sống trên đá, rạn san hô, vùng triều đến độ sâu 40 m
Phân bố: - Thế giới: Vùng biển Tây Nam Thái Bình Dương - Việt Nam: Vùng biển các tỉnh phía Bắc, Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
110,Thân mềm,TB.110,Melongenidae,Hemifusus tuba,"(Gmelin, 1791)",Ốc mỏ vịt núm,Vùng biển Quảng Ninh,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 25-30 cm. Mẫu lớn nhất có kích cỡ đạt tới 35 cm
Sinh học, sinh thái: Sống nơi đáy cát, độ sâu từ 10-50 m
Phân bố: - Thế giới: Vùng biển Vùng biển Đông Nam Á - Việt Nam: Vùng biển Quảng Ninh, Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Phú Quốc, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
111,Thân mềm,TB.111,Charoniidae,Charonia tritonis,"(Linnaeus, 1758)",Ốc tù và bông,Vùng biển Quảng Ngãi,,,,1,,1,1,,,"Màu sắc, đặc điểm: trung bình 30-40 cm. Mẫu lớn nhất có kích cỡ đạt tới 50 cm
Sinh học, sinh thái: Sống ở rạn san hô
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa,  vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
112,Thân mềm,TB.112,Cassidae,Cassis cornuta,"(Linnaeus, 1758)",Ốc kim khôi vàng,Vùng biển Quảng Ngãi,,,,1,,1,1,,,"Màu sắc, đặc điểm: trung bình 20-30 cm. Mẫu lớn nhất có kích cỡ đạt tới 35 cm
Sinh học, sinh thái: Sống ở rạn san hô, độ sâu từ 1-20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, Phú Quốc, vv….
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
113,Thân mềm,TB.113,Turbinidae,Turbo marmoratus,"(Linnaeus, 1758)",Ốc xà cừ,Vùng biển Đà Nẵng,,,,1,,1,1,,,"Màu sắc, đặc điểm: trung bình 15 cm. Mẫu lớn nhất có kích cỡ đạt tới 20 cm
Sinh học, sinh thái: Sống trên đá, độ sâu từ 10-30 m nước
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương, phía tây đảo Fiji, vv…. - Việt Nam: Vùng biển Đà Nẵng, Quảng Ngãi, Phú Yên, Khánh Hòa, Bình Thuận, vv…
Ứng dụng: dùng làm hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
114,Thân mềm,TB.114,Cypraeidae,Atrina vexillum,"(Born, 1778)",Bàn mai đen,Vùng biển Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: trung bình 20-25cm. Mẫu lớn nhất có kích cỡ đạt tới 35 cm
Sinh học, sinh thái: Sống ở đáy cát sỏi, vùng dưới triều đến độ sâu 30 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Ninh Thuận, Bình Thuận, vv…
Ứng dụng: dùng làm thực phẩm và hàng mỹ nghệ.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
115,Thân mềm,TB.115,Nautilidae,Nautilus pompilius,"(Linnaeus, 1758)",Ốc mực anh vũ,Vùng biển Khánh Hòa,,,,,,,1,1,,"Màu sắc, đặc điểm: Tối đa khoảng 22 cm
Sinh học, sinh thái: Sống ở rạn san hô hoặc ở gần đáy, vùng nước sâu tới 500m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bà Rịa – Vũng Tàu, vv…
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
116,Thân mềm,TB.116,Muricidae,Chicoreus ramosus,"(Linnaeus, 1758)",Ốc gai trắng lớn,Vùng biển Quảng Ngãi,,,,,,,1,,,"Màu sắc, đặc điểm: trung bình 15-20 cm. Mẫu lớn nhất có kích cỡ đạt tới 30 cm
Sinh học, sinh thái: Sống ở rạn san hô, vùng dưới triều đến độ sâu 20 m
Phân bố: - Thế giới: Vùng biển Ấn Độ - Thái Bình Dương - Việt Nam: Vùng biển Quảng Ngãi, Khánh Hòa, Ninh Thuận, Bình Thuận, vv….
Ứng dụng: dùng làm hàng mỹ nghệ
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
117,Thân mềm,TB.117,Octopodidae,Hapalochlaena lunulata,"(Quoy & Gaimard, 1832)",Bạch tuộc đốm xanh,Vùng biển Khánh Hòa,,,,,,,,,,"Màu sắc, đặc điểm: trung bình 4-5cm. Mẫu lớn nhất có kích cỡ đạt tới 7 cm
Sinh học, sinh thái: Sống ở trong các hốc các rạn đá hoặc san hô, độ sâu từ 1 - 20 mét nước
Phân bố: - Thế giới: Vùng biển Ấn Độ - Tây Thái Bình Dương - Việt Nam: Vùng biển Khánh Hòa, Bình Thuận, Bến Tre, vv…
Độc tố: sinh vật độc hại.
Ghi chú: Nơi trưng bày: Khu trưng bày tài nguyên Hoàng Sa - Trường Sa."
